Import_Market_Slug	Capability_Name	Status	Display_Order
russia	Pharmacovigilance	Upcoming	30
ukraine	Regulatory Affairs	Upcoming	10
ukraine	MAH & Local Representation	Upcoming	20
ukraine	Pharmacovigilance	Upcoming	30
chile	Regulatory Affairs	Upcoming	10
chile	MAH & Local Representation	Not available	20
chile	Pharmacovigilance	Upcoming	30
el-salvador	Regulatory Affairs	Available	10
el-salvador	MAH & Local Representation	Not available	20
el-salvador	Pharmacovigilance	Upcoming	30
guatemala	Regulatory Affairs	Available	10
guatemala	MAH & Local Representation	Not available	20
guatemala	Pharmacovigilance	Upcoming	30
honduras	Regulatory Affairs	Available	10
honduras	MAH & Local Representation	Not available	20
honduras	Pharmacovigilance	Upcoming	30
nicaragua	Regulatory Affairs	Available	10
nicaragua	MAH & Local Representation	Not available	20
nicaragua	Pharmacovigilance	Upcoming	30
peru	Regulatory Affairs	Available	10
peru	MAH & Local Representation	Upcoming	20
peru	Pharmacovigilance	Upcoming	30
saudi-arabia	Regulatory Affairs	Available	10
saudi-arabia	MAH & Local Representation	Available	20
saudi-arabia	Pharmacovigilance	Available	30
united-arab-emirates	Regulatory Affairs	Upcoming	10
united-arab-emirates	MAH & Local Representation	Upcoming	20
united-arab-emirates	Pharmacovigilance	Upcoming	30
